3F-24GHz,,,,,,4F-24GHz,,,,,
,estimated,,correct,,,,estimated,,correct,,
Index P,x,y,x,y,error,Index P,x,y,x,y,error
1,30.053,0.062,32,0,1.948,1,29.997,-0.028,32,0,2.003
2,28.839,0.0,30,0,1.161,2,29.249,0.0,30,0,0.751
3,24.743,0.0,28,0,3.257,3,30.021,0.0,28,0,2.021
4,28.042,0.0,26,0,2.042,4,22.541,0.0,26,0,3.459
5,23.195,0.0,24,0,0.805,5,21.28,0.0,24,0,2.72
6,20.671,0.0,22,0,1.329,6,20.793,0.0,22,0,1.207
7,20.673,0.0,20,0,0.673,7,20.472,0.0,20,0,0.472
8,17.111,0.0,18,0,0.889,8,20.562,0.0,18,0,2.562
9,10.343,0.0,16,0,5.657,9,12.257,0.0,16,0,3.743
10,9.233,0.0,14,0,4.767,10,9.713,0.0,14,0,4.287
11,9.736,0.0,12,0,2.264,11,9.268,0.0,12,0,2.732
12,9.162,-0.011,10,0,0.838,12,9.249,0.0,10,0,0.751
13,9.082,-0.035,8,0,1.083,13,9.209,-0.018,8,0,1.209
14,9.085,-0.022,6,0,3.085,14,9.083,-0.139,6,0,3.086
15,8.609,-2.082,4,0,5.057,15,4.162,-5.977,4,0,5.979
16,3.196,-7.086,2,0,7.186,16,5.933,-2.734,2,0,4.79
17,2.479,12.002,0,0,12.255,17,9.436,-0.754,0,0,9.466
18,1.66,14.135,0,2,12.248,18,8.344,-0.128,0,2,8.611
19,-0.163,14.115,0,4,10.116,19,-0.147,24.533,0,4,20.534
20,0.0,16.841,0,6,10.841,20,0.0,28.895,0,6,22.895
21,0.0,16.189,0,8,8.189,21,0.0,24.085,0,8,16.085
22,-0.007,15.94,0,10,5.94,22,0.0,26.626,0,10,16.626
23,0.0,15.861,0,12,3.861,23,-0.203,19.297,0,12,7.3
24,0.0,16.17,0,14,2.17,24,0.0,24.076,0,14,10.076
25,0.0,15.896,0,16,0.104,25,0.0,27.031,0,16,11.031
26,0.0,15.975,0,18,2.025,26,0.0,24.773,0,18,6.773
27,0.0,28.704,0,20,8.704,27,0.0,23.315,0,20,3.315
28,0.0,25.964,0,22,3.964,28,0.0,22.828,0,22,0.828
29,0.0,30.769,0,24,6.769,29,0.0,23.529,0,24,0.471
30,0.0,30.723,0,26,4.723,30,0.0,29.033,0,26,3.033
31,0.0,30.912,0,28,2.912,31,0.0,30.241,0,28,2.241
32,0.0,30.782,0,30,0.782,32,0.0,30.037,0,30,0.037
33,0.0,30.712,0,32,1.288,33,0.0,30.311,0,32,1.689
34,0.0,30.864,0,34,3.136,34,0.0,30.205,0,34,3.795
35,0.0,39.621,0,36,3.621,35,0.0,40.99,0,36,4.99
36,0.0,42.643,0,38,4.643,36,0.0,41.404,0,38,3.404
37,0.023,44.048,0,40,4.048,37,0.0,40.595,0,40,0.595
38,0.009,44.156,0,42,2.156,38,0.0,41.644,0,42,0.356
39,0.0,44.118,0,44,0.118,39,0.0,41.675,0,44,2.325
40,0.002,44.195,0,46,1.805,40,0.0,41.284,0,46,4.716
41,0.217,44.597,0,48,3.41,41,0.0,40.866,0,48,7.134
42,2.164,48.951,0,50,2.405,42,0.0,35.46,0,50,14.54
43,3.531,52.142,0,52,3.534,43,2.086,42.169,0,52,10.05
44,4.503,55.64,0,54,4.792,44,8.365,51.682,0,54,8.68
45,4.728,55.775,0,56,4.733,45,3.46,44.094,0,56,12.399
46,5.989,56.0,2,56,3.989,46,16.238,55.714,2,56,14.241
47,5.845,56.0,4,56,1.845,47,10.134,55.986,4,56,6.134
48,6.601,56.0,6,56,0.601,48,10.017,55.998,6,56,4.017
49,6.353,56.0,8,56,1.647,49,10.177,55.996,8,56,2.177
50,12.617,56.0,10,56,2.617,50,10.036,56.0,10,56,0.036
51,13.679,56.0,12,56,1.679,51,10.144,56.0,12,56,1.856
52,14.094,56.0,14,56,0.094,52,10.555,56.0,14,56,3.445
53,20.529,56.0,16,56,4.529,53,22.088,56.0,16,56,6.088
54,23.489,56.0,18,56,5.489,54,23.433,56.0,18,56,5.433
55,25.302,56.0,20,56,5.302,55,24.32,56.0,20,56,4.32
56,25.42,56.0,22,56,3.42,56,24.454,56.0,22,56,2.454
57,25.631,56.0,24,56,1.631,57,24.443,56.0,24,56,0.443
58,24.836,56.0,26,56,1.164,58,24.356,56.0,26,56,1.644
59,25.484,56.0,28,56,2.516,59,24.386,56.0,28,56,3.614
,,,,Ave,3.625,,,,,Ave,5.283
,,,,Max,12.255,,,,,Max,22.895
,,,,Min,0.094,,,,,Min,0.036
,,,,Std,2.883,,,,,Std,5.128
,,,,Var,8.31,,,,,Var,26.293
