3F-5GHz-Overlap,,,,,,4F-5GHz-Overlap,,,,,
,estimated,,correct,,,,estimated,,correct,,
Index P,x,y,x,y,error,Index P,x,y,x,y,error
1,29.485,1.623,32,0,2.993,1,21.53,0.0,32,0,10.47
2,29.878,0.0,30,0,0.122,2,29.625,0.0,30,0,0.375
3,27.642,0.0,28,0,0.358,3,25.322,0.0,28,0,2.678
4,21.933,0.0,26,0,4.067,4,22.175,0.0,26,0,3.825
5,21.365,0.0,24,0,2.635,5,21.69,0.0,24,0,2.31
6,20.886,0.0,22,0,1.114,6,20.748,0.0,22,0,1.252
7,20.734,0.0,20,0,0.734,7,20.843,0.0,20,0,0.843
8,20.671,0.0,18,0,2.671,8,19.665,0.0,18,0,1.665
9,17.264,0.0,16,0,1.264,9,18.701,0.0,16,0,2.701
10,15.012,0.0,14,0,1.012,10,13.214,0.0,14,0,0.786
11,11.453,0.0,12,0,0.547,11,10.056,0.0,12,0,1.944
12,9.176,0.0,10,0,0.824,12,9.3,0.0,10,0,0.7
13,9.303,0.0,8,0,1.303,13,9.343,0.0,8,0,1.343
14,11.341,0.0,6,0,5.341,14,9.322,-0.007,6,0,3.322
15,9.177,-1.069,4,0,5.286,15,12.916,0.0,4,0,8.916
16,4.365,3.236,2,0,4.008,16,11.021,0.0,2,0,9.021
17,14.38,3.406,0,0,14.778,17,14.414,0.0,0,0,14.414
18,4.934,7.552,0,2,7.428,18,9.428,1.716,0,2,9.432
19,0.0,16.786,0,4,12.786,19,0.0,23.879,0,4,19.879
20,0.0,17.103,0,6,11.103,20,0.0,29.041,0,6,23.041
21,0.0,15.831,0,8,7.831,21,0.0,31.856,0,8,23.856
22,0.0,16.841,0,10,6.841,22,0.0,29.992,0,10,19.992
23,0.0,15.729,0,12,3.729,23,0.0,24.915,0,12,12.915
24,0.0,15.73,0,14,1.73,24,0.0,24.724,0,14,10.724
25,0.0,16.402,0,16,0.402,25,0.0,26.925,0,16,10.925
26,0.0,17.136,0,18,0.864,26,0.0,27.031,0,18,9.031
27,0.0,21.564,0,20,1.564,27,0.0,23.673,0,20,3.673
28,0.0,15.6,0,22,6.4,28,0.0,23.081,0,22,1.081
30,0.0,15.6,0,26,10.4,29,0.0,22.818,0,24,1.182
31,0.0,15.6,0,28,12.4,30,0.0,28.489,0,26,2.489
33,0.0,31.335,0,32,0.665,31,0.0,29.911,0,28,1.911
34,0.0,38.066,0,34,4.066,32,0.0,30.499,0,30,0.499
35,0.0,40.18,0,36,4.18,33,0.0,22.6,0,32,9.4
36,0.0,40.655,0,38,2.655,34,0.0,34.877,0,34,0.877
37,0.0,43.629,0,40,3.629,35,0.0,36.328,0,36,0.328
38,0.005,44.044,0,42,2.044,36,0.0,41.398,0,38,3.398
39,0.002,44.195,0,44,0.195,37,0.0,41.634,0,40,1.634
40,0.0,44.166,0,46,1.834,38,0.0,41.531,0,42,0.469
41,0.02,44.226,0,48,3.774,39,0.0,41.674,0,44,2.326
42,1.467,47.354,0,50,3.025,40,0.0,41.198,0,46,4.802
43,4.441,51.2,0,52,4.512,41,0.604,39.762,0,48,8.26
44,4.592,54.974,0,54,4.694,42,2.144,43.509,0,50,6.836
45,6.041,40.642,0,56,16.503,43,5.208,48.38,0,52,6.343
46,5.035,56.0,2,56,3.035,44,6.597,49.594,0,54,7.933
47,4.805,56.0,4,56,0.805,45,5.914,38.058,0,56,18.892
48,7.779,56.0,6,56,1.779,46,10.825,55.377,2,56,8.847
49,9.005,56.0,8,56,1.005,47,18.018,55.95,4,56,14.018
50,10.686,56.0,10,56,0.686,48,10.555,56.0,6,56,4.555
51,14.418,56.0,12,56,2.418,49,10.857,55.99,8,56,2.857
52,13.681,56.0,14,56,0.319,50,10.057,56.0,10,56,0.057
53,16.934,56.0,16,56,0.934,51,14.841,56.0,12,56,2.841
54,17.491,56.0,18,56,0.509,52,15.61,56.0,14,56,1.61
55,20.002,56.0,20,56,0.002,53,19.659,56.0,16,56,3.659
56,24.763,56.0,22,56,2.763,54,21.589,56.0,18,56,3.589
57,25.079,56.0,24,56,1.079,55,23.433,56.0,20,56,3.433
58,24.968,56.0,26,56,1.032,56,24.139,55.994,22,56,2.139
59,24.831,56.0,28,56,3.169,57,24.476,55.999,24,56,0.476
,,,,,,58,23.938,55.992,26,56,2.062
,,,,,,59,21.004,55.984,28,56,6.996
,,,,Ave,3.609,,,,,Ave,5.908
,,,,Max,16.503,,,,,Max,23.856
,,,,Min,0.002,,,,,Min,0.057
,,,,Std,3.768,,,,,Std,6.074
,,,,Var,14.198,,,,,Var,36.893
