3F-Overlap-Count,,,,,,4F-Overlap-Count,,,,,
,estimated,,correct,,,,estimated,,correct,,
Index P,x,y,x,y,error,Index P,x,y,x,y,error
1,30.087,0.063,32,0,1.914,1,30.073,0.0,32,0,1.927
2,28.839,0.0,30,0,1.161,2,29.557,0.0,30,0,0.443
3,24.873,0.0,28,0,3.127,3,25.322,0.0,28,0,2.678
4,29.309,0.0,26,0,3.309,4,19.071,0.0,26,0,6.929
5,25.854,0.0,24,0,1.854,5,21.28,0.0,24,0,2.72
6,20.671,0.0,22,0,1.329,6,20.798,0.0,22,0,1.202
7,20.658,0.0,20,0,0.658,7,20.375,0.0,20,0,0.375
8,16.963,0.0,18,0,1.037,8,20.531,0.0,18,0,2.531
9,10.2,0.0,16,0,5.8,9,12.073,0.0,16,0,3.927
10,9.233,0.0,14,0,4.767,10,9.437,0.0,14,0,4.563
11,9.274,0.0,12,0,2.726,11,10.056,0.0,12,0,1.944
12,9.182,0.0,10,0,0.818,12,9.216,0.0,10,0,0.784
13,9.073,-0.035,8,0,1.074,13,9.229,0.0,8,0,1.229
14,9.083,-0.022,6,0,3.083,14,7.145,-2.22,6,0,2.498
15,8.609,-2.082,4,0,5.057,15,3.4,-6.106,4,0,6.135
16,1.736,-6.985,2,0,6.99,16,6.21,-3.167,2,0,5.268
17,18.592,0.0,0,0,18.592,17,8.934,-0.788,0,0,8.969
18,1.66,14.135,0,2,12.248,18,8.858,-0.655,0,2,9.247
19,-0.891,14.222,0,4,10.261,19,-0.208,25.749,0,4,21.75
20,0.0,16.841,0,6,10.841,20,0.0,28.181,0,6,22.181
21,0.0,16.189,0,8,8.189,21,0.0,24.644,0,8,16.644
22,0.0,15.694,0,10,5.694,22,-0.136,22.836,0,10,12.837
23,0.0,15.861,0,12,3.861,23,0.0,24.016,0,12,12.016
24,0.0,16.17,0,14,2.17,24,0.0,23.633,0,14,9.633
25,0.0,15.896,0,16,0.104,25,0.0,24.52,0,16,8.52
26,0.0,15.975,0,18,2.025,26,0.0,23.807,0,18,5.807
27,0.0,26.817,0,20,6.817,27,0.0,23.315,0,20,3.315
28,0.0,25.964,0,22,3.964,28,0.0,22.873,0,22,0.873
29,0.0,30.769,0,24,6.769,29,0.0,23.44,0,24,0.56
30,0.0,30.723,0,26,4.723,30,0.0,30.432,0,26,4.432
31,0.0,30.912,0,28,2.912,31,0.0,30.241,0,28,2.241
32,0.0,30.785,0,30,0.785,32,0.0,30.045,0,30,0.045
33,0.0,30.712,0,32,1.288,33,0.0,30.311,0,32,1.689
34,0.0,30.867,0,34,3.133,34,0.0,30.217,0,34,3.783
35,0.012,39.736,0,36,3.736,35,0.0,40.997,0,36,4.997
36,0.0,42.643,0,38,4.643,36,0.0,41.411,0,38,3.411
37,0.0,43.961,0,40,3.961,37,0.0,40.635,0,40,0.635
38,0.0,44.133,0,42,2.133,38,0.0,41.663,0,42,0.337
39,0.0,44.118,0,44,0.118,39,0.0,41.686,0,44,2.314
40,0.002,44.195,0,46,1.805,40,0.0,41.537,0,46,4.463
41,0.217,44.597,0,48,3.41,41,0.025,41.507,0,48,6.493
42,2.292,50.032,0,50,2.292,42,1.249,40.57,0,50,9.512
43,3.531,52.142,0,52,3.534,43,2.769,45.13,0,52,7.407
44,4.503,55.64,0,54,4.792,44,6.81,51.265,0,54,7.339
45,4.802,55.902,0,56,4.803,45,11.126,49.492,0,56,12.89
46,5.989,56.0,2,56,3.989,46,16.347,55.937,2,56,14.347
47,5.845,56.0,4,56,1.845,47,10.354,55.998,4,56,6.354
48,6.601,56.0,6,56,0.601,48,10.017,55.998,6,56,4.017
49,6.353,56.0,8,56,1.647,49,10.177,55.996,8,56,2.177
50,12.617,56.0,10,56,2.617,50,10.036,56.0,10,56,0.036
51,16.041,56.0,12,56,4.041,51,10.144,56.0,12,56,1.856
52,15.468,56.0,14,56,1.468,52,10.555,56.0,14,56,3.445
53,20.529,56.0,16,56,4.529,53,22.088,56.0,16,56,6.088
54,23.489,56.0,18,56,5.489,54,23.433,56.0,18,56,5.433
55,25.535,56.0,20,56,5.535,55,24.32,56.0,20,56,4.32
56,25.42,56.0,22,56,3.42,56,24.454,56.0,22,56,2.454
57,25.631,56.0,24,56,1.631,57,24.497,56.0,24,56,0.497
58,25.007,56.0,26,56,0.993,58,24.355,55.998,26,56,1.645
59,25.484,56.0,28,56,2.516,59,24.385,55.999,28,56,3.615
,,,,Ave,3.807,,,,,Ave,5.183
,,,,Max,18.592,,,,,Max,22.181
,,,,Min,0.104,,,,,Min,0.036
,,,,Std,3.201,,,,,Std,4.929
,,,,Var,10.245,,,,,Var,24.294
